Description,epoch,train_loss,train_accuracy,test_accuracy
LR:1,1,4.1560771894454955,15.1,14.099999999999998
LR:1,2,3.792370948791504,12.5,11.1
LR:1,3,3.071334800720215,14.099999999999998,13.5
LR:1,4,2.9638939261436463,14.499999999999998,13.8
LR:1,5,2.80894513130188,14.799999999999999,13.200000000000001
LR:1,6,2.5906707525253294,15.1,14.000000000000002
LR:1,7,2.7025056529045104,14.399999999999999,12.7
LR:1,8,2.3766727447509766,15.1,13.8
LR:1,9,2.3315485453605653,14.799999999999999,13.4
LR:1,10,2.2970432448387146,14.799999999999999,13.4
LR:1,11,2.2799822473526,13.700000000000001,11.899999999999999
LR:1,12,2.282375946044922,15.1,13.200000000000001
LR:1,13,2.2440559315681456,16.5,14.7
LR:1,14,2.234164218902588,16.1,14.7
LR:1,15,2.227004451751709,16.900000000000002,15.2
LR:1,16,2.2297554302215574,16.1,14.000000000000002
LR:1,17,2.2117577838897704,16.400000000000002,14.6
LR:1,18,2.20774777173996,17.8,15.6
LR:1,19,2.2078709697723387,17.599999999999998,16.0
LR:1,20,2.1912905836105345,16.5,14.399999999999999
LR:1,21,2.2121630573272704,16.900000000000002,14.499999999999998
LR:1,22,2.1896826457977294,16.5,14.299999999999999
LR:1,23,2.1841840982437133,17.2,14.799999999999999
LR:1,24,2.1989960408210756,17.2,14.899999999999999
LR:1,25,2.191279962062836,17.4,15.0
LR:1,26,2.1785086727142335,16.8,14.2
LR:1,27,2.3981627368927003,17.599999999999998,15.2
LR:1,28,2.1876132237911223,18.9,16.6
LR:1,29,2.177552922964096,20.1,17.5
LR:1,30,2.192058471441269,19.1,16.2
LR:1,31,2.369850835800171,18.2,15.7
LR:1,32,2.1841432750225067,19.900000000000002,17.299999999999997
LR:1,33,2.145894008874893,21.6,19.2
LR:1,34,2.156818734407425,19.400000000000002,16.3
LR:1,35,2.233877093791962,20.599999999999998,18.0
LR:1,36,2.155386872291565,20.599999999999998,18.0
LR:1,37,2.133934408426285,21.099999999999998,18.0
LR:1,38,2.121006330251694,21.3,18.2
LR:1,39,2.128410396575928,21.3,18.4
LR:1,40,2.1442041063308714,20.1,17.2
LR:1,41,2.1354492259025575,21.3,18.3
LR:1,42,2.109688185453415,21.5,18.2
LR:1,43,2.1153090500831606,21.4,17.7
LR:1,44,2.1041740262508393,20.599999999999998,17.1
LR:1,45,2.1171648490428923,21.4,18.2
LR:1,46,2.1049287974834443,22.0,18.8
