Description,epoch,train_loss,train_accuracy,test_accuracy
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",1,1.8379808449745179,39.1,38.6
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",2,1.7741796314716338,40.699999999999996,39.7
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",3,1.7545337545871735,41.8,41.099999999999994
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",4,1.7172675836086273,42.0,40.400000000000006
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",5,1.7411622047424316,42.3,41.4
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",6,1.6996994996070862,42.8,41.199999999999996
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",7,1.6931298387050628,43.0,41.0
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",8,1.6991588008403777,43.3,41.3
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",9,1.6995448505878448,43.4,41.5
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",10,1.689627743959427,43.6,41.3
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",11,1.6661241734027863,43.9,41.699999999999996
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",12,1.6911722218990326,44.2,41.699999999999996
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",13,1.6672181808948516,44.2,41.699999999999996
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",14,1.6651633870601654,43.8,41.099999999999994
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",15,1.6809142208099366,44.5,41.4
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",16,1.654809159040451,44.4,41.3
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",17,1.6509519076347352,44.5,41.699999999999996
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",18,1.651444398164749,44.4,41.8
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",19,1.654459079504013,44.7,41.199999999999996
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",20,1.64948389172554,44.5,41.3
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",21,1.6471678388118745,44.800000000000004,41.3
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",22,1.6494931733608247,44.5,41.3
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",23,1.653535133600235,44.9,41.099999999999994
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",24,1.6477278792858123,44.800000000000004,41.3
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",25,1.6435911071300506,45.2,41.699999999999996
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",26,1.6237645184993743,45.4,41.9
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",27,1.646649054288864,45.5,41.8
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",28,1.6203949356079101,45.4,41.8
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",29,1.6279314363002777,45.4,41.8
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",30,1.6203221559524537,45.4,41.9
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",31,1.6366412103176118,45.4,41.9
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",32,1.6192836344242096,45.5,41.9
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",33,1.6239155399799348,45.4,41.8
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",34,1.6455949652194977,45.5,41.9
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",35,1.6313729655742646,45.4,42.0
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",36,1.6455899143218995,45.4,41.8
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",37,1.6230086767673493,45.5,41.9
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",38,1.631541748046875,45.5,41.9
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",39,1.6320911645889282,45.5,41.8
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",40,1.6382224345207215,45.5,41.9
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",41,1.6332723414897918,45.5,42.0
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",42,1.6213176238536835,45.6,41.9
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",43,1.6251959347724914,45.5,41.9
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",44,1.6334981429576874,45.5,41.9
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",45,1.6432887923717499,45.5,42.0
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",46,1.6276189815998077,45.5,42.1
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",47,1.634427902698517,45.6,41.9
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",48,1.6347085320949555,45.5,41.9
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",49,1.6309172010421753,45.5,41.9
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",50,1.6384893453121185,45.6,41.9
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",51,1.6254417514801025,45.6,41.9
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",52,1.62785001039505,45.5,42.0
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",53,1.6253467190265656,45.5,42.0
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",54,1.628486692905426,45.5,42.0
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",55,1.6179238617420197,45.5,42.0
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",56,1.622583831548691,45.5,42.0
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",57,1.6224800336360932,45.5,42.0
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",58,1.6181516218185426,45.5,42.0
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",59,1.6279838716983794,45.5,42.0
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",60,1.6235178363323213,45.5,42.0
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",61,1.6231150865554809,45.5,42.0
