Description,epoch,train_loss,train_accuracy,test_accuracy
"Starting LR:0.01, L2Reg:0",1,1.0544010519981384,68.10000000000001,68.8
"Starting LR:0.01, L2Reg:0",2,0.9087070482969284,69.39999999999999,70.0
"Starting LR:0.01, L2Reg:0",3,0.8704463768005372,70.1,70.39999999999999
"Starting LR:0.01, L2Reg:0",4,0.8515974736213684,70.39999999999999,71.0
"Starting LR:0.01, L2Reg:0",5,0.8240544062852859,70.5,71.0
"Starting LR:0.01, L2Reg:0",6,0.8110257989168167,70.89999999999999,71.3
"Starting LR:0.01, L2Reg:0",7,0.8040500086545944,70.89999999999999,71.39999999999999
"Starting LR:0.01, L2Reg:0",8,0.7977739244699478,71.2,71.5
"Starting LR:0.01, L2Reg:0",9,0.7898389649391174,71.3,71.7
"Starting LR:0.01, L2Reg:0",10,0.8007389205694199,71.3,71.6
"Starting LR:0.01, L2Reg:0",11,0.7830210322141647,71.5,71.7
"Starting LR:0.01, L2Reg:0",12,0.8025025737285614,71.39999999999999,71.6
"Starting LR:0.01, L2Reg:0",13,0.7568418884277344,71.6,71.8
"Starting LR:0.01, L2Reg:0",14,0.7897647374868393,71.7,71.89999999999999
"Starting LR:0.01, L2Reg:0",15,0.7774653923511505,71.7,71.89999999999999
"Starting LR:0.01, L2Reg:0",16,0.7751421707868577,71.7,71.8
"Starting LR:0.01, L2Reg:0",17,0.7680558031797409,71.8,71.8
"Starting LR:0.01, L2Reg:0",18,0.7573059952259064,71.8,72.0
"Starting LR:0.01, L2Reg:0",19,0.7489945185184479,71.8,72.0
"Starting LR:0.01, L2Reg:0",20,0.7622763478755951,71.89999999999999,72.0
"Starting LR:0.01, L2Reg:0",21,0.7719068545103073,71.89999999999999,72.1
"Starting LR:0.01, L2Reg:0",22,0.7618112522363663,72.0,72.1
"Starting LR:0.01, L2Reg:0",23,0.7597039014101028,72.0,72.1
"Starting LR:0.01, L2Reg:0",24,0.7758721005916596,72.1,72.2
"Starting LR:0.01, L2Reg:0",25,0.7529096233844758,72.1,72.2
"Starting LR:0.01, L2Reg:0",26,0.7618779897689819,72.1,72.2
"Starting LR:0.01, L2Reg:0",27,0.7531449323892594,72.1,72.2
"Starting LR:0.01, L2Reg:0",28,0.7558151310682297,72.1,72.2
"Starting LR:0.01, L2Reg:0",29,0.7570785319805146,72.1,72.2
"Starting LR:0.01, L2Reg:0",30,0.7604079449176788,72.1,72.1
"Starting LR:0.01, L2Reg:0",31,0.7650101655721664,72.1,72.2
"Starting LR:0.01, L2Reg:0",32,0.7564176338911056,72.2,72.2
"Starting LR:0.01, L2Reg:0",33,0.7556462222337723,72.1,72.1
"Starting LR:0.01, L2Reg:0",34,0.7549540072679519,72.1,72.2
"Starting LR:0.01, L2Reg:0",35,0.7554777681827545,72.2,72.2
"Starting LR:0.01, L2Reg:0",36,0.744696655869484,72.2,72.1
"Starting LR:0.01, L2Reg:0",37,0.7563051015138627,72.2,72.2
