Description,epoch,train_loss,train_accuracy,test_accuracy
"Starting LR:0.01, L2Reg:0",1,1.842015701532364,39.0,38.6
"Starting LR:0.01, L2Reg:0",2,1.7653629744052888,40.6,40.2
"Starting LR:0.01, L2Reg:0",3,1.7555349218845366,41.699999999999996,40.699999999999996
"Starting LR:0.01, L2Reg:0",4,1.74824609041214,42.1,41.099999999999994
"Starting LR:0.01, L2Reg:0",5,1.7343584954738618,42.8,41.4
"Starting LR:0.01, L2Reg:0",6,1.7054202890396117,43.0,41.6
"Starting LR:0.01, L2Reg:0",7,1.7154487228393556,43.2,41.4
"Starting LR:0.01, L2Reg:0",8,1.7050056099891662,43.3,41.3
"Starting LR:0.01, L2Reg:0",9,1.6782243001461028,43.5,41.099999999999994
"Starting LR:0.01, L2Reg:0",10,1.6943280053138734,43.1,41.199999999999996
"Starting LR:0.01, L2Reg:0",11,1.6909045004844665,43.8,41.3
"Starting LR:0.01, L2Reg:0",12,1.6722356641292573,44.2,41.4
"Starting LR:0.01, L2Reg:0",13,1.669964735507965,44.1,41.699999999999996
"Starting LR:0.01, L2Reg:0",14,1.6706435477733612,44.2,41.5
"Starting LR:0.01, L2Reg:0",15,1.6768342065811157,44.2,41.099999999999994
"Starting LR:0.01, L2Reg:0",16,1.6671470999717712,44.5,41.4
"Starting LR:0.01, L2Reg:0",17,1.6625788068771363,44.3,41.6
"Starting LR:0.01, L2Reg:0",18,1.6593666934967042,44.5,41.199999999999996
"Starting LR:0.01, L2Reg:0",19,1.6579749846458436,44.5,41.4
"Starting LR:0.01, L2Reg:0",20,1.6674474716186523,45.1,41.6
"Starting LR:0.01, L2Reg:0",21,1.6512719213962554,45.0,41.099999999999994
"Starting LR:0.01, L2Reg:0",22,1.6428123617172241,44.9,41.6
"Starting LR:0.01, L2Reg:0",23,1.6466717910766602,44.800000000000004,41.6
"Starting LR:0.01, L2Reg:0",24,1.638667641878128,44.800000000000004,41.199999999999996
"Starting LR:0.01, L2Reg:0",25,1.637173707485199,44.9,41.5
"Starting LR:0.01, L2Reg:0",26,1.648492668867111,45.6,41.6
"Starting LR:0.01, L2Reg:0",27,1.6206008350849153,45.5,41.699999999999996
"Starting LR:0.01, L2Reg:0",28,1.6367135119438172,45.5,41.9
"Starting LR:0.01, L2Reg:0",29,1.6389079928398131,45.5,41.699999999999996
"Starting LR:0.01, L2Reg:0",30,1.6453460896015166,45.6,41.6
"Starting LR:0.01, L2Reg:0",31,1.6210676991939545,45.5,41.6
"Starting LR:0.01, L2Reg:0",32,1.6290678000450134,45.5,41.699999999999996
"Starting LR:0.01, L2Reg:0",33,1.6305184197425842,45.5,41.8
"Starting LR:0.01, L2Reg:0",34,1.6202915477752686,45.5,41.699999999999996
"Starting LR:0.01, L2Reg:0",35,1.6160239815711974,45.6,41.699999999999996
"Starting LR:0.01, L2Reg:0",36,1.632581295967102,45.6,41.699999999999996
"Starting LR:0.01, L2Reg:0",37,1.6356099832057953,45.6,41.699999999999996
"Starting LR:0.01, L2Reg:0",38,1.6369290030002595,45.6,41.699999999999996
"Starting LR:0.01, L2Reg:0",39,1.6351476955413817,45.6,41.8
"Starting LR:0.01, L2Reg:0",40,1.6248373627662658,45.6,41.699999999999996
"Starting LR:0.01, L2Reg:0",41,1.6296882367134093,45.5,41.8
"Starting LR:0.01, L2Reg:0",42,1.6263131046295165,45.6,41.8
"Starting LR:0.01, L2Reg:0",43,1.6282196581363677,45.5,41.699999999999996
"Starting LR:0.01, L2Reg:0",44,1.6409109938144684,45.6,41.8
"Starting LR:0.01, L2Reg:0",45,1.6197313368320465,45.7,41.699999999999996
"Starting LR:0.01, L2Reg:0",46,1.6357942616939545,45.7,41.699999999999996
"Starting LR:0.01, L2Reg:0",47,1.6119325864315033,45.7,41.699999999999996
"Starting LR:0.01, L2Reg:0",48,1.6351444971561433,45.6,41.699999999999996
"Starting LR:0.01, L2Reg:0",49,1.6311585891246796,45.6,41.699999999999996
"Starting LR:0.01, L2Reg:0",50,1.622858099937439,45.6,41.699999999999996
"Starting LR:0.01, L2Reg:0",51,1.6204594457149506,45.6,41.6
"Starting LR:0.01, L2Reg:0",52,1.6212633156776428,45.6,41.6
"Starting LR:0.01, L2Reg:0",53,1.6254836583137513,45.6,41.6
"Starting LR:0.01, L2Reg:0",54,1.6234440684318543,45.6,41.6
"Starting LR:0.01, L2Reg:0",55,1.6293851912021637,45.7,41.6
"Starting LR:0.01, L2Reg:0",56,1.615951532125473,45.7,41.6
"Starting LR:0.01, L2Reg:0",57,1.628229044675827,45.7,41.6
"Starting LR:0.01, L2Reg:0",58,1.6247441244125367,45.7,41.699999999999996
"Starting LR:0.01, L2Reg:0",59,1.6234894728660583,45.7,41.6
"Starting LR:0.01, L2Reg:0",60,1.6259768295288086,45.6,41.6
"Starting LR:0.01, L2Reg:0",61,1.6306943023204803,45.7,41.699999999999996
"Starting LR:0.01, L2Reg:0",62,1.6256083011627198,45.7,41.699999999999996
"Starting LR:0.01, L2Reg:0",63,1.631811978816986,45.7,41.6
"Starting LR:0.01, L2Reg:0",64,1.6259109997749328,45.7,41.6
"Starting LR:0.01, L2Reg:0",65,1.622983068227768,45.7,41.699999999999996
"Starting LR:0.01, L2Reg:0",66,1.6325669157505036,45.7,41.699999999999996
"Starting LR:0.01, L2Reg:0",67,1.6349406945705414,45.6,41.699999999999996
"Starting LR:0.01, L2Reg:0",68,1.643940247297287,45.7,41.699999999999996
"Starting LR:0.01, L2Reg:0",69,1.626393231153488,45.7,41.699999999999996
"Starting LR:0.01, L2Reg:0",70,1.6185062909126282,45.7,41.699999999999996
"Starting LR:0.01, L2Reg:0",71,1.6251556396484375,45.7,41.699999999999996
