Description,epoch,train_loss,train_accuracy,test_accuracy
"Starting LR:0.01, L2Reg:1e-05, Batch Size:1",1,2.762132609696354,16.2,15.299999999999999
"Starting LR:0.01, L2Reg:1e-05, Batch Size:1",2,2.3906127529894,12.9,11.4
"Starting LR:0.01, L2Reg:1e-05, Batch Size:1",3,2.1746958361005353,17.299999999999997,15.8
"Starting LR:0.01, L2Reg:1e-05, Batch Size:1",4,2.3401406004020826,18.6,17.299999999999997
"Starting LR:0.01, L2Reg:1e-05, Batch Size:1",5,2.1411480529640445,21.0,19.5
"Starting LR:0.01, L2Reg:1e-05, Batch Size:1",6,2.387875286581584,21.2,19.6
"Starting LR:0.01, L2Reg:1e-05, Batch Size:1",7,2.3881844739810663,21.099999999999998,19.7
"Starting LR:0.01, L2Reg:1e-05, Batch Size:1",8,2.2247109765085007,18.6,16.900000000000002
"Starting LR:0.01, L2Reg:1e-05, Batch Size:1",9,2.2817317824211933,19.6,18.099999999999998
"Starting LR:0.01, L2Reg:1e-05, Batch Size:1",10,2.1907336681705782,19.1,17.2
"Starting LR:0.01, L2Reg:1e-05, Batch Size:1",11,2.0578247458536407,18.8,16.6
"Starting LR:0.01, L2Reg:1e-05, Batch Size:1",12,2.0912516711199167,20.3,18.099999999999998
"Starting LR:0.01, L2Reg:1e-05, Batch Size:1",13,2.129806073007994,19.1,16.8
"Starting LR:0.01, L2Reg:1e-05, Batch Size:1",14,2.198103480047812,20.3,17.8
"Starting LR:0.01, L2Reg:1e-05, Batch Size:1",15,2.2812278557419994,20.599999999999998,18.2
"Starting LR:0.01, L2Reg:1e-05, Batch Size:1",16,2.258667102583713,19.7,17.299999999999997
"Starting LR:0.01, L2Reg:1e-05, Batch Size:1",17,2.2477682521796623,19.7,16.8
"Starting LR:0.01, L2Reg:1e-05, Batch Size:1",18,2.28415543420062,20.200000000000003,17.299999999999997
"Starting LR:0.01, L2Reg:1e-05, Batch Size:1",19,2.1303707039144992,19.7,17.2
"Starting LR:0.01, L2Reg:1e-05, Batch Size:1",20,2.2618541526920968,18.9,15.7
"Starting LR:0.01, L2Reg:1e-05, Batch Size:1",21,2.1306132744330877,20.9,18.0
"Starting LR:0.01, L2Reg:1e-05, Batch Size:1",22,2.1272894395116553,21.8,18.6
"Starting LR:0.01, L2Reg:1e-05, Batch Size:1",23,2.0430159968091175,21.3,18.099999999999998
"Starting LR:0.01, L2Reg:1e-05, Batch Size:1",24,1.9130920422695998,23.799999999999997,20.3
"Starting LR:0.01, L2Reg:1e-05, Batch Size:1",25,2.055716688548709,22.5,19.5
"Starting LR:0.01, L2Reg:1e-05, Batch Size:1",26,2.135875015452033,24.9,21.099999999999998
"Starting LR:0.01, L2Reg:1e-05, Batch Size:1",27,2.0477591193388798,25.0,21.2
"Starting LR:0.01, L2Reg:1e-05, Batch Size:1",28,1.9272396127793399,25.1,20.9
"Starting LR:0.01, L2Reg:1e-05, Batch Size:1",29,2.107325470650685,25.8,21.6
"Starting LR:0.01, L2Reg:1e-05, Batch Size:1",30,2.1791245662619256,26.400000000000002,22.2
"Starting LR:0.01, L2Reg:1e-05, Batch Size:1",31,2.061582291879454,26.200000000000003,21.7
"Starting LR:0.01, L2Reg:1e-05, Batch Size:1",32,1.6970457214509225,26.400000000000002,21.9
"Starting LR:0.01, L2Reg:1e-05, Batch Size:1",33,2.125476134314317,26.200000000000003,21.6
"Starting LR:0.01, L2Reg:1e-05, Batch Size:1",34,1.7799064330136218,26.700000000000003,22.2
"Starting LR:0.01, L2Reg:1e-05, Batch Size:1",35,1.884976854661727,26.6,22.2
"Starting LR:0.01, L2Reg:1e-05, Batch Size:1",36,1.8129489822625056,26.8,22.2
"Starting LR:0.01, L2Reg:1e-05, Batch Size:1",37,1.9324794150423241,27.0,22.5
"Starting LR:0.01, L2Reg:1e-05, Batch Size:1",38,2.027097795072259,26.8,22.1
"Starting LR:0.01, L2Reg:1e-05, Batch Size:1",39,2.079583641897989,26.900000000000002,22.2
"Starting LR:0.01, L2Reg:1e-05, Batch Size:1",40,2.0358609717657634,26.900000000000002,22.1
"Starting LR:0.01, L2Reg:1e-05, Batch Size:1",41,2.134819270929254,27.200000000000003,22.6
"Starting LR:0.01, L2Reg:1e-05, Batch Size:1",42,1.919394761720896,27.0,22.3
"Starting LR:0.01, L2Reg:1e-05, Batch Size:1",43,2.0886528795221238,27.1,22.6
"Starting LR:0.01, L2Reg:1e-05, Batch Size:1",44,1.9497822001951857,27.1,22.0
"Starting LR:0.01, L2Reg:1e-05, Batch Size:1",45,2.006825065352603,27.0,22.2
