Description,epoch,train_loss,train_accuracy,test_accuracy
"Starting LR:0.01, L2Reg:1e-07, Batch Size:1",1,1.8896378043869413,34.4,34.4
"Starting LR:0.01, L2Reg:1e-07, Batch Size:1",2,1.5732430120834193,34.599999999999994,34.8
"Starting LR:0.01, L2Reg:1e-07, Batch Size:1",3,1.6642718569995438,33.300000000000004,33.1
"Starting LR:0.01, L2Reg:1e-07, Batch Size:1",4,1.9033392102888502,34.8,34.8
"Starting LR:0.01, L2Reg:1e-07, Batch Size:1",5,1.8798505684399383,32.9,33.300000000000004
"Starting LR:0.01, L2Reg:1e-07, Batch Size:1",6,1.7785697784481818,34.0,34.2
"Starting LR:0.01, L2Reg:1e-07, Batch Size:1",7,1.8220223222502807,34.300000000000004,34.300000000000004
"Starting LR:0.01, L2Reg:1e-07, Batch Size:1",8,1.837310568744964,34.5,34.699999999999996
"Starting LR:0.01, L2Reg:1e-07, Batch Size:1",9,1.9559690890239927,34.300000000000004,34.300000000000004
"Starting LR:0.01, L2Reg:1e-07, Batch Size:1",10,2.0365197866511426,34.0,34.0
"Starting LR:0.01, L2Reg:1e-07, Batch Size:1",11,1.8144352520140112,34.4,34.699999999999996
"Starting LR:0.01, L2Reg:1e-07, Batch Size:1",12,1.7724412690284579,32.5,32.800000000000004
"Starting LR:0.01, L2Reg:1e-07, Batch Size:1",13,1.8080812911210915,34.1,34.2
"Starting LR:0.01, L2Reg:1e-07, Batch Size:1",14,1.6670420653018387,34.9,35.0
"Starting LR:0.01, L2Reg:1e-07, Batch Size:1",15,1.8827598077990593,34.599999999999994,34.699999999999996
"Starting LR:0.01, L2Reg:1e-07, Batch Size:1",16,1.8885846843244598,33.6,33.6
"Starting LR:0.01, L2Reg:1e-07, Batch Size:1",17,1.845159359644324,33.6,33.800000000000004
"Starting LR:0.01, L2Reg:1e-07, Batch Size:1",18,1.832815124067358,34.300000000000004,34.4
"Starting LR:0.01, L2Reg:1e-07, Batch Size:1",19,1.612020495854574,34.4,34.5
"Starting LR:0.01, L2Reg:1e-07, Batch Size:1",20,1.6450099734959145,34.599999999999994,34.699999999999996
"Starting LR:0.01, L2Reg:1e-07, Batch Size:1",21,1.675989318898586,34.300000000000004,34.4
"Starting LR:0.01, L2Reg:1e-07, Batch Size:1",22,1.7323593019294583,34.5,34.699999999999996
"Starting LR:0.01, L2Reg:1e-07, Batch Size:1",23,1.610233104512577,35.0,35.0
"Starting LR:0.01, L2Reg:1e-07, Batch Size:1",24,1.8400858411903716,35.199999999999996,35.3
"Starting LR:0.01, L2Reg:1e-07, Batch Size:1",25,1.7837397055528885,34.599999999999994,34.699999999999996
"Starting LR:0.01, L2Reg:1e-07, Batch Size:1",26,1.5045334201157499,34.8,34.8
"Starting LR:0.01, L2Reg:1e-07, Batch Size:1",27,1.6726794313375968,34.699999999999996,34.699999999999996
"Starting LR:0.01, L2Reg:1e-07, Batch Size:1",28,1.8458119726216955,34.8,34.8
"Starting LR:0.01, L2Reg:1e-07, Batch Size:1",29,1.8960702648567291,34.9,34.8
"Starting LR:0.01, L2Reg:1e-07, Batch Size:1",30,1.746177908518423,34.699999999999996,34.699999999999996
"Starting LR:0.01, L2Reg:1e-07, Batch Size:1",31,1.9902167033118434,34.9,34.8
"Starting LR:0.01, L2Reg:1e-07, Batch Size:1",32,1.7367680706363269,34.8,34.8
"Starting LR:0.01, L2Reg:1e-07, Batch Size:1",33,1.7330041284430215,34.8,34.699999999999996
"Starting LR:0.01, L2Reg:1e-07, Batch Size:1",34,1.85645432445368,35.0,34.9
"Starting LR:0.01, L2Reg:1e-07, Batch Size:1",35,1.5714815923385368,35.0,35.0
"Starting LR:0.01, L2Reg:1e-07, Batch Size:1",36,1.8843304607364901,34.9,34.8
"Starting LR:0.01, L2Reg:1e-07, Batch Size:1",37,1.6087649892773572,34.9,34.9
"Starting LR:0.01, L2Reg:1e-07, Batch Size:1",38,1.6084768488318864,34.9,34.9
"Starting LR:0.01, L2Reg:1e-07, Batch Size:1",39,1.8043850729759663,34.9,34.9
"Starting LR:0.01, L2Reg:1e-07, Batch Size:1",40,1.6568921189311663,34.9,34.8
"Starting LR:0.01, L2Reg:1e-07, Batch Size:1",41,1.7464767408533493,35.0,35.0
"Starting LR:0.01, L2Reg:1e-07, Batch Size:1",42,1.6938882230010395,34.9,34.8
"Starting LR:0.01, L2Reg:1e-07, Batch Size:1",43,1.6291600546438394,35.0,34.9
"Starting LR:0.01, L2Reg:1e-07, Batch Size:1",44,1.7885673565731555,35.0,35.0
"Starting LR:0.01, L2Reg:1e-07, Batch Size:1",45,1.854511092873074,34.9,34.9
"Starting LR:0.01, L2Reg:1e-07, Batch Size:1",46,1.715880236207806,35.0,34.9
